,Rank,Total Assets,Bank Name
58,58,"$40,035,375,000",Texas Capital Bank
59,59,"$39,608,763,000",South State Bank
60,60,"$39,164,920,000","TIAA, FSB"
61,61,"$38,551,787,000",First National Bank of Pennsylvania
62,62,"$37,741,000,000",Deutsche Bank Trust Company Americas
63,63,"$35,563,929,000",Prosperity Bank
64,64,"$35,145,561,000",Pinnacle Bank
65,65,"$35,051,519,000",BankUnited
66,66,"$35,049,974,000",Hancock Whitney Bank
67,67,"$34,526,520,000",Associated Bank
68,68,"$34,409,284,000",UMB Bank
69,69,"$33,299,565,000",Webster Bank
70,70,"$33,220,680,000",Raymond James Bank
71,71,"$33,154,929,000",Commerce Bank
72,72,"$33,115,000,000","Charles Schwab Premier Bank, SSB"
73,73,"$32,808,206,000",Pacific Western Bank
74,74,"$31,661,000,000",BNY Mellon
75,75,"$31,476,798,000",MidFirst Bank
76,76,"$30,753,248,000",Sallie Mae Bank
77,77,"$30,039,015,000",Umpqua Bank
78,78,"$29,853,040,000",TD Bank USA
79,79,"$29,831,446,000",Sterling National Bank
80,80,"$29,392,867,000","Flagstar Bank, FSB"
81,81,"$29,380,000,000",Barclays Bank Delaware
82,82,"$27,276,892,000",Bank OZK
83,83,"$26,992,697,000",United Bank
84,84,"$26,259,747,000",Arvest Bank
85,85,"$25,882,061,000",FirstBank
86,86,"$25,860,000,000",Bank of America California
87,87,"$25,802,759,000",BancorpSouth Bank
88,88,"$25,770,333,000",Investors Bank
89,89,"$25,742,281,000",Fulton Bank
90,90,"$25,477,938,000",First National Bank of Omaha
91,91,"$23,640,492,000",Old National Bank
92,92,"$23,496,497,000",First Hawaiian Bank
93,93,"$23,287,971,000",Simmons Bank
94,94,"$21,917,620,000",Bank of Hawaii
95,95,"$21,337,979,000",Ameris Bank
96,96,"$21,095,209,000",First Midwest Bank
97,97,"$20,172,309,000",Pacific Premier Bank
98,98,"$19,862,617,000",Wells Fargo National Bank West
99,99,"$19,800,793,000",Atlantic Union Bank
100,100,"$19,759,090,000",Glacier Bank
101,101,"$19,742,021,000",City National Bank of Florida
102,102,"$19,535,454,000",Washington Federal Bank
103,103,"$19,408,437,000",FirstBank Puerto Rico
104,104,"$19,211,723,000",Cathay Bank
105,105,"$18,944,668,000",Mechanics Bank
106,106,"$18,807,064,000",Customers Bank
107,107,"$18,791,544,000","Cadence Bank, N.A."
108,108,"$18,513,139,000",United Community Bank
109,109,"$18,384,525,000",First Interstate Bank
110,110,"$18,110,591,000",Independent Bank
111,111,"$17,326,322,000",Columbia State Bank
112,112,"$17,206,340,000",Centennial Bank
113,113,"$17,193,404,000",Bank of Hope
114,114,"$17,016,581,000","WesBanco Bank, Inc."
115,115,"$16,876,289,000",Trustmark National Bank
116,116,"$16,715,144,000",Eastern Bank
117,117,"$16,213,356,000",Apple Bank for Savings
118,118,"$16,115,802,000",Banner Bank
119,119,"$16,098,840,000",First Financial Bank
120,120,"$15,620,824,000",Renasant Bank
121,121,"$15,533,834,000",Bremer Bank
122,122,"$15,079,397,000",Towne Bank
123,123,"$14,835,682,000",Citizens Business Bank
124,124,"$14,793,125,000",Stifel Bank and Trust
125,125,"$14,696,220,000","Wilmington Savings Fund Society, FSB"
126,126,"$14,607,526,000",First Merchants Bank
127,127,"$14,449,435,000","Optum Bank, Inc."
128,128,"$14,446,863,000",Third Federal Savings and Loan Association of Cleveland
129,129,"$14,429,468,000",Community Bank
130,130,"$14,402,674,000",Northwest Bank
131,131,"$14,229,718,000",PlainsCapital Bank
132,132,"$13,776,487,000",Rockland Trust Company
133,133,"$13,483,018,000",Cross River Bank
134,134,"$13,423,454,000",Axos Bank
135,135,"$13,125,069,000",Provident Bank
136,136,"$13,012,359,000",Dime Community Bank
137,137,"$13,006,485,000",Great Western Bank
138,138,"$12,860,946,000",Sandy Spring Bank
139,139,"$12,754,388,000",Berkshire Bank
140,140,"$12,645,969,000",ServisFirst Bank
141,141,"$12,475,626,000",State Bank of India
142,142,"$12,283,000,000",Charles Schwab Trust Bank
143,143,"$12,065,711,000",First Financial Bank
144,144,"$11,920,539,000",FirstBank
145,145,"$11,666,778,000",Israel Discount Bank of New York
146,146,"$11,544,995,000",OceanFirst Bank
147,147,"$11,492,851,000",BMW Bank of North America
148,148,"$11,442,656,000",NBT Bank
149,149,"$11,146,587,000",First United Bank and Trust Company
150,150,"$11,102,077,000",EagleBank
151,151,"$10,740,172,000",Busey Bank
152,152,"$10,557,535,000",Popular Bank
153,153,"$10,556,686,000",International Bank of Commerce
154,154,"$10,510,356,000",Boston Private Bank & Trust Company
155,155,"$10,488,361,000",Tristate Capital Bank
156,156,"$10,453,776,000",Farmers and Merchants Bank of Long Beach
157,157,"$10,337,268,000","Dollar Bank, Federal Savings Bank"
158,158,"$10,324,364,000",Bank of Baroda
159,159,"$10,156,245,000",Enterprise Bank & Trust
160,160,"$10,097,356,000",Washington Trust Bank
161,161,"$10,000,022,000",Oriental Bank
162,162,"$9,989,803,000",E*TRADE Savings Bank
163,163,"$9,877,503,000",The Park National Bank
164,164,"$9,833,622,000",Bell Bank
165,165,"$9,792,987,000",Metabank
166,166,"$9,792,477,000",Woodforest National Bank
167,167,"$9,718,109,000",Capitol Federal Savings Bank
168,168,"$9,485,506,000",BancFirst
169,169,"$9,450,338,000",Merchants Bank of Indiana
170,170,"$9,421,169,000",Safra National Bank of New York
171,171,"$9,393,257,000",First Commonwealth Bank
172,172,"$9,319,989,000",S&T Bank
173,173,"$9,232,171,000",Veritex Community Bank
174,174,"$9,129,768,000",Comenity Bank
175,175,"$9,082,950,000",NexBank
176,176,"$9,029,332,000",Columbia Bank
177,177,"$8,844,827,000","AMERIPRISE BANK, FSB"
178,178,"$8,812,580,000",Seacoast National Bank
179,179,"$8,718,024,000","American Savings Bank, FSB"
180,180,"$8,336,882,000",Live Oak Banking Company
181,181,"$8,335,556,000",Bank Hapoalim B.M.
182,182,"$8,321,670,000",Wintrust Bank
183,183,"$8,297,739,000",Comenity Capital Bank
184,184,"$8,235,126,000",Bank Leumi USA
185,185,"$8,160,103,000",Flushing Bank
186,186,"$8,021,313,000",Tri Counties Bank
187,187,"$7,926,155,000",Banc of California
188,188,"$7,770,967,000",Lakeland Bank
189,189,"$7,756,568,000",Silvergate Bank
190,190,"$7,753,277,000",The Bancorp Bank
191,191,"$7,741,545,000",Amerant Bank
192,192,"$7,740,005,000",First Bank
193,193,"$7,652,920,000",Mizuho Bank (USA)
194,194,"$7,548,380,000",First Security Bank
195,195,"$7,532,216,000",Origin Bank
196,196,"$7,512,362,000",1st Source Bank
197,197,"$7,473,758,000",Premier Bank
198,198,"$7,449,488,000",ConnectOne Bank
199,199,"$7,400,429,000",Amarillo National Bank
200,200,"$7,339,060,000",Kearny Bank
201,201,"$7,271,993,000",Century Bank and Trust Company
202,202,"$7,221,480,000",Liberty Bank
203,203,"$7,219,337,000",HomeStreet Bank
204,204,"$7,174,974,000",Wilmington Trust
205,205,"$7,074,983,000",Luther Burbank Savings
206,206,"$7,037,264,000",First Foundation Bank
207,207,"$7,022,912,000",Heritage Bank
208,208,"$6,994,558,000",Southside Bank
209,209,"$6,972,139,000",Central Pacific Bank
210,210,"$6,949,916,000",Intrust Bank
211,211,"$6,948,775,000",NBH Bank
212,212,"$6,872,557,000",Midland States Bank
213,213,"$6,869,564,000",Bank of India
214,214,"$6,867,229,000",Westamerica Bank
215,215,"$6,798,756,000",Pinnacle Bank
216,216,"$6,742,578,000",Byline Bank
217,217,"$6,732,843,000",First Bank
218,218,"$6,522,810,000",Ridgewood Savings Bank
219,219,"$6,501,443,000",East Boston Savings Bank
220,220,"$6,467,909,000",Republic Bank & Trust Company
221,221,"$6,437,470,000",Hanmi Bank
222,222,"$6,423,375,000",Allegiance Bank
223,223,"$6,398,199,000",Univest Bank and Trust Co.
224,224,"$6,390,966,000",Amalgamated Bank
225,225,"$6,326,783,000",Happy State Bank
226,226,"$6,315,955,000",Beal Bank USA
227,227,"$6,200,615,000",Bangor Savings Bank
228,228,"$6,186,573,000",Emigrant Bank
229,229,"$6,082,072,000","TBK BANK, SSB"
230,230,"$6,047,014,000",TrustCo Bank
231,231,"$6,035,720,000",Johnson Bank
232,232,"$6,035,575,000",Horizon Bank
233,233,"$6,003,430,000",Lake City Bank
234,234,"$5,993,495,000",CrossFirst Bank
235,235,"$5,970,690,000",Peapack-Gladstone Bank
236,236,"$5,935,065,000",Bank of Colorado
237,237,"$5,880,936,000",Middlesex Savings Bank
238,238,"$5,870,696,000","First American Trust, FSB"
239,239,"$5,861,068,000",Union Bank and Trust Company
240,240,"$5,830,772,000",City National Bank of West Virginia
241,241,"$5,828,860,000",Bankers Trust Company
242,242,"$5,778,668,000",Salem Five Cents Savings Bank
243,243,"$5,760,534,000",Centier Bank
244,244,"$5,730,672,000",MidWestOne Bank
245,245,"$5,718,880,000","The Washington Trust Company, of Westerly"
246,246,"$5,704,087,000",First American Bank
247,247,"$5,702,415,000",Lake Forest Bank & Trust Company
248,248,"$5,639,032,000",Alpine Bank
249,249,"$5,606,941,000",Great Southern Bank
250,250,"$5,581,088,000",Northfield Bank
251,251,"$5,474,570,000",Brookline Bank
252,252,"$5,450,151,000",Preferred Bank
253,253,"$5,436,548,000","The First, A National Banking Association"
254,254,"$5,402,236,000",Fremont Bank
255,255,"$5,386,210,000",Republic Bank
256,256,"$5,326,223,000","Community Trust Bank, Inc."
257,257,"$5,308,211,000",Sunflower Bank
258,258,"$5,291,625,000",Five Star Bank
259,259,"$5,266,626,000","RBC Bank, (Georgia)"
260,260,"$5,262,057,000",Wells Fargo Bank South Central
261,261,"$5,210,314,000",German American Bank
262,262,"$5,196,447,000",Cambridge Savings Bank
263,263,"$5,133,529,000",Peoples Bank
264,264,"$5,068,267,000",The Camden National Bank
265,265,"$5,018,947,000",Stockman Bank of Montana
266,266,"$4,999,223,000",Heritage Bank of Commerce
267,267,"$4,940,100,000",BankPlus
268,268,"$4,927,784,000",First National Bank Alaska
269,269,"$4,921,336,000",Metropolitan Commercial Bank
270,270,"$4,911,259,000",The Bryn Mawr Trust Company
271,271,"$4,880,119,000",CNB Bank
272,272,"$4,874,723,000",Broadway National Bank
273,273,"$4,790,397,000",Stock Yards Bank & Trust Company
274,274,"$4,788,377,000",Firstrust Savings Bank
275,275,"$4,778,415,000",First Mid Bank & Trust
276,276,"$4,767,153,000",Morton Community Bank
277,277,"$4,733,703,000",Farmers & Merchants Bank of Central California
278,278,"$4,704,832,000",Celtic Bank
279,279,"$4,704,177,000",Ocean Bank
280,280,"$4,691,486,000",Mercantile Bank of Michigan
281,281,"$4,667,777,000",Principal Bank
282,282,"$4,611,118,000",HarborOne Bank
283,283,"$4,607,880,000",American National Bank
284,284,"$4,565,539,000",Stifel Bank
285,285,"$4,553,939,000",First Financial Bank
286,286,"$4,536,597,000",Nicolet National Bank
287,287,"$4,508,638,000",Merrick Bank
288,288,"$4,464,646,000",The Cape Cod Five Cents Savings Bank
289,289,"$4,450,194,000",b1BANK
290,290,"$4,448,694,000",The American National Bank of Texas
291,291,"$4,425,525,000",Independent Bank
292,292,"$4,321,295,000",First International Bank & Trust
293,293,"$4,257,761,000",Enterprise Bank and Trust Company
294,294,"$4,253,701,000",The First National Bank of Long Island
295,295,"$4,252,874,000",Cambridge Trust Company
296,296,"$4,244,121,000",Community Bank of Mississippi
297,297,"$4,197,423,000",Equity Bank
298,298,"$4,193,829,000",Bank of Stockton
299,299,"$4,186,434,000",First Internet Bank of Indiana
300,300,"$4,162,576,000",Green Dot Bank DBA Bonneville Bank
301,301,"$4,142,130,000",Carter Bank & Trust
302,302,"$4,044,476,000",Institution for Savings in Newburyport and Its Vicinity
303,303,"$4,029,141,000","CommunityBank of Texas, N.A."
304,304,"$4,001,243,000",Hills Bank and Trust Company
305,305,"$3,987,450,000",Hinsdale Bank & Trust Company
306,306,"$3,969,104,000",CTBC Bank Corp. (USA)
307,307,"$3,955,494,000",Central Bank of the Midwest
308,308,"$3,924,301,000",Capital City Bank
309,309,"$3,924,092,000",Southern Bank and Trust Company
310,310,"$3,894,956,000",The Canandaigua National Bank and Trust Company
311,311,"$3,889,580,000",First National Bank Texas
312,312,"$3,863,051,000",Heartland Bank and Trust Company
313,313,"$3,818,882,000",Northbrook Bank and Trust Company
314,314,"$3,803,788,000",Sumitomo Mitsui Trust Bank (U.S.A.) Limited
315,315,"$3,793,602,000",RCB Bank
316,316,"$3,751,579,000",First Bank & Trust
317,317,"$3,731,675,000",Atlantic Capital Bank
318,318,"$3,730,641,000",City Bank
319,319,"$3,728,754,000",Bar Harbor Bank & Trust
320,320,"$3,721,804,000",Manufacturers Bank
321,321,"$3,705,210,000",American Business Bank
322,322,"$3,685,489,000",Northpointe Bank
323,323,"$3,684,400,000","Sterling Bank and Trust, FSB"
324,324,"$3,667,073,000",Inwood National Bank
325,325,"$3,663,156,000",Royal Business Bank
326,326,"$3,661,624,000",InterBank
327,327,"$3,648,303,000",HomeTrust Bank
328,328,"$3,618,132,000",Security Bank of Kansas City
329,329,"$3,586,294,000",Union Savings Bank
330,330,"$3,585,613,000",TIB The Independent Bankersbank
331,331,"$3,580,389,000",Texas Bank and Trust Company
332,332,"$3,556,127,000",First State Community Bank
333,333,"$3,552,564,000",SmartBank
334,334,"$3,552,342,000",Barrington Bank & Trust Company
335,335,"$3,537,072,000",Wilson Bank and Trust
336,336,"$3,537,067,000",The Central Trust Bank
337,337,"$3,521,485,000",Altabank
338,338,"$3,505,346,000",Burke & Herbert Bank & Trust Company
339,339,"$3,472,044,000",PeoplesBank
340,340,"$3,457,443,000",Poppy Bank
341,341,"$3,455,295,000",Central Bank & Trust Company
342,342,"$3,408,128,000",River City Bank
343,343,"$3,393,933,000",ANB Bank
344,344,"$3,381,371,000",Mid Penn Bank
345,345,"$3,371,304,000","Spencer Savings Bank, SLA"
346,346,"$3,335,726,000",United Community Bank
347,347,"$3,333,860,000",Citizens First Bank
348,348,"$3,332,321,000",Primis Bank
349,349,"$3,330,348,000",First Federal Bank
350,350,"$3,326,563,000",Bank of the Sierra
351,351,"$3,311,568,000",The Farmers National Bank of Canfield
352,352,"$3,294,171,000",Exchange Bank
353,353,"$3,290,896,000",LendingClub Bank
354,354,"$3,248,951,000",Dacotah Bank
355,355,"$3,245,975,000","Summit Community Bank, Inc"
356,356,"$3,193,383,000",VeraBank
357,357,"$3,171,504,000",West Bank
358,358,"$3,171,394,000",Bank Rhode Island
359,359,"$3,169,776,000",Old Second National Bank
360,360,"$3,166,882,000","Spirit of Texas Bank, SSB"
361,361,"$3,157,743,000",The Bank of East Asia Ltd.
362,362,"$3,157,124,000",WebBank
363,363,"$3,154,996,000",Blue Ridge Bank
364,364,"$3,150,221,000",Alerus Financial
365,365,"$3,148,334,000",CapStar Bank
366,366,"$3,145,537,000",Town Bank
367,367,"$3,139,421,000",First Community Bank
368,368,"$3,131,234,000",First PREMIER Bank
369,369,"$3,125,641,000",The Fidelity Bank
370,370,"$3,108,747,000",EnerBank USA
371,371,"$3,079,911,000","NATIONAL COOPERATIVE BANK, N.A."
372,372,"$3,076,172,000",Independence Bank of Kentucky
373,373,"$3,068,885,000",Bridgewater Bank
374,374,"$3,063,191,000",Glens Falls National Bank and Trust Company
375,375,"$3,057,806,000",Bank of Marin
376,376,"$3,057,370,000",American National Bank and Trust Company
377,377,"$3,053,655,000",Civista Bank
378,378,"$3,050,292,000",Reliant Bank
379,379,"$3,030,306,000",Choice Financial Group
380,380,"$2,993,089,000",Peoples Security Bank and Trust Company
381,381,"$2,992,675,000",The National Bank of Indianapolis
382,382,"$2,992,509,000",First National Bank of America
383,383,"$2,991,053,000",First Bank & Trust
384,384,"$2,963,809,000",Gate City Bank
385,385,"$2,963,056,000",Orrstown Bank
386,386,"$2,943,607,000",West Suburban Bank
387,387,"$2,943,459,000",Bristol County Savings Bank
388,388,"$2,938,144,000","John Deere Financial, f.s.b."
389,389,"$2,930,954,000",Bessemer Trust Company
390,390,"$2,913,483,000",Industrial and Commercial Bank of China USA
391,391,"$2,898,032,000",Parkway Bank and Trust Company
392,392,"$2,891,363,000","Guaranty Bank & Trust, N.A."
393,393,"$2,879,554,000",Union Savings Bank
394,394,"$2,870,778,000",FineMark National Bank & Trust
395,395,"$2,851,573,000",BCB Community Bank
396,396,"$2,849,744,000",Carrollton Bank
397,397,"$2,846,195,000","Bank First, N.A."
398,398,"$2,844,182,000",Hingham Institution for Savings
399,399,"$2,819,619,000",Red River Bank
400,400,"$2,814,075,000","Mizrahi Tefahot Bank, Ltd."
401,401,"$2,797,037,000",Needham Bank
402,402,"$2,767,458,000",STAR Financial Bank
403,403,"$2,745,837,000",Merchants Bank
404,404,"$2,741,559,000",Fidelity Bank
405,405,"$2,737,786,000",Lone Star National Bank
406,406,"$2,736,003,000",The Bank of Tampa
407,407,"$2,733,572,000",Macatawa Bank
408,408,"$2,718,680,000",Southern Bank
409,409,"$2,712,587,000","Texas Exchange Bank, ssb"
410,410,"$2,705,907,000",Wheaton Bank & Trust
411,411,"$2,702,140,000",Home Bank
412,412,"$2,700,117,000",American Momentum Bank
413,413,"$2,683,707,000",Central Bank of Boone County
414,414,"$2,673,190,000",WEX Bank
415,415,"$2,656,388,000",Amboy Bank
416,416,"$2,653,253,000",Vantage Bank Texas
417,417,"$2,642,835,000","El Dorado Savings Bank, F.S.B."
418,418,"$2,642,285,000","MVB Bank, Inc"
419,419,"$2,641,620,000",Cache Valley Bank
420,420,"$2,640,070,000",ACNB Bank
421,421,"$2,635,772,000",Peoples Bank
422,422,"$2,632,199,000",Citywide Banks
423,423,"$2,630,259,000",Penn Community Bank
424,424,"$2,625,027,000",Howard Bank
425,425,"$2,624,004,000",Home Federal Bank of Tennessee
426,426,"$2,617,071,000",First Business Bank
427,427,"$2,600,530,000",The Bank of Missouri
428,428,"$2,585,417,000",Northern Bank & Trust Company
429,429,"$2,580,942,000",National Exchange Bank and Trust
430,430,"$2,579,479,000",Southern First Bank
431,431,"$2,572,552,000",Level One Bank
432,432,"$2,565,655,000",First Guaranty Bank
433,433,"$2,554,353,000",D. L. Evans Bank
434,434,"$2,541,051,000",Frandsen Bank & Trust
435,435,"$2,520,224,000",WestStar Bank
436,436,"$2,516,116,000",Tompkins Trust Company
437,437,"$2,513,917,000",The First Bank and Trust Company
438,438,"$2,510,909,000","North Shore Bank, FSB"
439,439,"$2,508,374,000",Toyota Financial Savings Bank
440,440,"$2,505,732,000",First Choice Bank
441,441,"$2,501,641,000",Bryant Bank
442,442,"$2,474,286,000",Woori America Bank
443,443,"$2,470,938,000","North American Savings Bank, F.S.B."
444,444,"$2,466,023,000",Westfield Bank
445,445,"$2,464,657,000",CENTRAL BANK OF ST. LOUIS
446,446,"$2,437,330,000",Chemung Canal Trust Company
447,447,"$2,436,430,000",Mascoma Bank
448,448,"$2,420,200,000",Manasquan Bank
449,449,"$2,419,615,000",Leader Bank
450,450,"$2,415,451,000",Republic Bank of Chicago
451,451,"$2,411,236,000",Gulf Coast Bank and Trust Company
452,452,"$2,409,957,000","Austin Bank, Texas"
453,453,"$2,407,120,000",Jefferson Bank
454,454,"$2,406,322,000",Investar Bank
455,455,"$2,406,232,000",First Fidelity Bank
456,456,"$2,405,576,000",First Bank
457,457,"$2,402,922,000",First National Bank
458,458,"$2,400,789,000",Stearns Bank
459,459,"$2,400,620,000",Bank of Guam
460,460,"$2,389,262,000",Bank of Ann Arbor
461,461,"$2,364,186,000",Minnwest Bank
462,462,"$2,358,090,000",New Mexico Bank & Trust
463,463,"$2,353,196,000",First Dakota National Bank
464,464,"$2,342,753,000",Banterra Bank
465,465,"$2,339,834,000",Armstrong Bank
466,466,"$2,336,670,000",Emprise Bank
467,467,"$2,336,080,000",Midwest BankCentre
468,468,"$2,335,350,000",Northrim Bank
469,469,"$2,335,208,000",UniBank for Savings
470,470,"$2,327,496,000",Academy Bank
471,471,"$2,318,150,000",KS StateBank
472,472,"$2,317,053,000",Citizens & Northern Bank
473,473,"$2,312,915,000",First Farmers Bank & Trust Co.
474,474,"$2,302,039,000",Lakeside Bank
475,475,"$2,287,125,000",United Business Bank
476,476,"$2,282,764,000",Village Bank and Trust
477,477,"$2,276,848,000",Country Club Bank
478,478,"$2,275,263,000","PeoplesBank, a Codorus Valley Company"
479,479,"$2,272,023,000",First Florida Integrity Bank
480,480,"$2,247,264,000","CB&S Bank, Inc."
481,481,"$2,241,753,000",Interaudi Bank
482,482,"$2,241,424,000",Bankwell Bank
483,483,"$2,233,693,000",Professional Bank
484,484,"$2,222,423,000",Avidia Bank
485,485,"$2,205,225,000",First Western Trust Bank
486,486,"$2,200,406,000",Central Valley Community Bank
487,487,"$2,194,070,000","WaterStone Bank, SSB"
488,488,"$2,175,133,000",1st Security Bank of Washington
489,489,"$2,173,183,000",BayCoast Bank
490,490,"$2,166,563,000",BankNewport
491,491,"$2,161,788,000",First Federal Savings and Loan Association of Lakewood
492,492,"$2,160,008,000",Bradesco BAC Florida Bank
493,493,"$2,158,968,000",Metro City Bank
494,494,"$2,150,543,000",SouthEast Bank
495,495,"$2,149,847,000",Five Star Bank
496,496,"$2,148,062,000",Community Bank of the Chesapeake
497,497,"$2,147,935,000",Sunwest Bank
498,498,"$2,140,380,000","Traditional Bank, Inc."
499,499,"$2,139,523,000",The Bank of Greene County
500,500,"$2,139,484,000",Territorial Savings Bank
501,501,"$2,137,078,000",Citizens and Farmers Bank
502,502,"$2,135,692,000",Think Mutual Bank
503,503,"$2,134,766,000",Northwest Bank
504,504,"$2,129,129,000",Evans Bank
505,505,"$2,123,042,000",State Bank of India
506,506,"$2,119,509,000",Cashmere Valley Bank
507,507,"$2,106,901,000",Quad City Bank and Trust Company
508,508,"$2,102,736,000",Parke Bank
509,509,"$2,101,037,000",American First National Bank
510,510,"$2,099,807,000",Bank Independent
511,511,"$2,096,304,000",Montecito Bank & Trust
512,512,"$2,095,174,000",Maspeth Federal Savings and Loan Association
513,513,"$2,081,391,000",First Citizens National Bank
514,514,"$2,071,324,000",Bank of New Hampshire
515,515,"$2,067,213,000",ChoiceOne Bank
516,516,"$2,060,071,000",BTH Bank
517,517,"$2,058,693,000",River Bank & Trust
518,518,"$2,057,424,000",Capital Bank
519,519,"$2,056,616,000",Old Plank Trail Community Bank
520,520,"$2,050,610,000",Pacific City Bank
521,521,"$2,048,941,000",Gateway First Bank
522,522,"$2,048,133,000",United Bank
523,523,"$2,045,399,000",Bank of Utah
524,524,"$2,038,544,000",Shore United Bank
525,525,"$2,033,765,000",Libertyville Bank & Trust Company
526,526,"$2,031,037,000","Third Coast Bank, SSB"
527,527,"$2,028,211,000",Coastal Community Bank
528,528,"$2,027,769,000","Westfield Bank, FSB"
529,529,"$2,024,869,000",VIST Bank
530,530,"$2,010,795,000",Wayne Bank
531,531,"$2,008,343,000",John Marshall Bank
532,532,"$2,001,464,000",Cornerstone Bank
533,533,"$1,999,392,000",Whitaker Bank
534,534,"$1,997,704,000",Unity Bank
535,535,"$1,997,221,000",FCB Banks
536,536,"$1,995,725,000",Yakima Federal Savings and Loan Association
537,537,"$1,992,791,000",First Citizens Community Bank
538,538,"$1,983,808,000",South Shore Bank
539,539,"$1,981,677,000",American Bank Center
540,540,"$1,980,269,000",First County Bank
541,541,"$1,971,103,000",Banesco USA
542,542,"$1,969,334,000",The Farmers & Merchants State Bank
543,543,"$1,968,212,000",Blue Foundry Bank
544,543,"$1,968,212,000",Congressional Bank
545,545,"$1,967,889,000",Isabella Bank
546,546,"$1,967,150,000",ESSA Bank & Trust
547,547,"$1,964,416,000",Colorado Federal Savings Bank
548,548,"$1,961,908,000",First State Bank of Uvalde
549,549,"$1,956,944,000",United Bank of Iowa
550,550,"$1,949,473,000",FirstCapital Bank of Texas
551,551,"$1,947,544,000",California Bank of Commerce
552,552,"$1,937,270,000",Machias Savings Bank
553,553,"$1,934,157,000",American Bank
554,554,"$1,932,397,000",Luana Savings Bank
555,555,"$1,932,234,000",Dubuque Bank and Trust Company
556,556,"$1,930,028,000",First Bank of Highland Park
557,557,"$1,923,766,000",First Western Bank & Trust
558,558,"$1,915,315,000",Marquette Bank
559,559,"$1,913,995,000",Tri City National Bank
560,560,"$1,909,175,000",Centreville Bank
561,561,"$1,908,125,000",The Fidelity Deposit and Discount Bank
562,562,"$1,908,085,000",Beal Bank
563,563,"$1,901,315,000",Habib American Bank
564,564,"$1,900,395,000",Extraco Banks
565,565,"$1,899,868,000",Orange Bank &Trust Company
566,566,"$1,889,262,000",First National Bank
567,567,"$1,887,314,000",The Bank of Castile
568,568,"$1,886,328,000",Shinhan Bank America
569,569,"$1,882,485,000",State Bank of Southern Utah
570,570,"$1,880,297,000",FVCbank
571,571,"$1,877,063,000",First Farmers and Merchants Bank
572,572,"$1,873,450,000",St. Charles Bank & Trust Company
573,573,"$1,873,183,000",Texas First Bank
574,574,"$1,872,712,000",Union County Savings Bank
575,575,"$1,860,441,000",Pinnacle Bank
576,576,"$1,856,317,000",USAA Savings Bank
577,577,"$1,856,255,000",CFG Community Bank
578,578,"$1,853,102,000",Farmers Bank & Trust Company
